;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;theme;demographic;duration;rating;score;ranked;popularity;members;favorites;themes;platforms;synopsis
10;Sen to Chihiro no Kamikakushi;https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;Sen and Chihiro's Spiriting Away;千と千尋の神隠し;Movie;1;Finished Airing;Jul 20, 2001;;;['Toho'];Disney Platform Distribution, GKIDS;Studio Ghibli;Original;['Adventure', 'Award Winning', 'Supernatural'];Mythology;;2 hr. 4 min.;PG - Children;8.78;#34;#44;1,720,783;30,463;;['Netflix'];Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way.  Vivid and intriguing, Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.  [Written by MAL Rewrite]
11;Fairy Tail;https://myanimelist.net/anime/6702/Fairy_Tail;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;;FAIRY TAIL（フェアリーテイル）;TV;175;Finished Airing;Oct 12, 2009 to Mar 30, 2013;Fall 2009;Saturdays at 10:30 (JST);['TV Tokyo', 'Dentsu', 'Pony Canyon', 'Kodansha', 'DAX Production', 'Sakura Create'];Funimation;Satelight, A-1 Pictures;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;7.58;#1452;#48;1,658,242;45,107;;['Crunchyroll', 'Funimation', ''];"In the enchanted Kingdom of Fiore, the lively Lucy Heartfilia has one wish: to join the renowned Fairy Tail—one of the many magical wizard guilds scattered around the continent. Luckily, a chance encounter with Natsu Dragneel, the ""Salamander"" of Fairy Tail, whisks her into the legendary guild.  From Natsu's rivalrous antics with ice wizard Gray Fullbuster to the frightening presence of the unmatched combat goddess Erza Scarlet, Fairy Tail's powerful mages have a slight penchant for trouble. Through all the lucrative odd jobs and adventures to save the world from destruction lies an absolute and unyielding trust stronger than family that has formed between each guild member.  Teaming up with Natsu, Gray, and Erza, Lucy finds herself amidst the guild's most misfit wizards. But as they constantly stand in the eye of every danger, there is one name that never ceases to resurface: Zeref, the feared master of dark magic.  [Written by MAL Rewrite]"
12;Dr. Stone;https://myanimelist.net/anime/38691/Dr_Stone;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230222013808_20230227_malxhis.png;;ドクターストーン;TV;24;Finished Airing;Jul 5, 2019 to Dec 13, 2019;Summer 2019;Fridays at 22:00 (JST);['TOHO animation', 'Shueisha', '8PAN'];Funimation, Crunchyroll;TMS Entertainment;Manga;['Adventure', 'Comedy', 'Sci-Fi'];;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;8.29;#258;#56;1,577,726;26,029;['Survival', 'Time Travel'];['Crunchyroll', 'Funimation', ''];After five years of harboring unspoken feelings, high-schooler Taiju Ooki is finally ready to confess his love to Yuzuriha Ogawa. Just when Taiju begins his confession however, a blinding green light strikes the Earth and petrifies mankind around the world—turning every single human into stone.  Several millennia later, Taiju awakens to find the modern world completely nonexistent, as nature has flourished in the years humanity stood still. Among a stone world of statues, Taiju encounters one other living human: his science-loving friend Senkuu, who has been active for a few months. Taiju learns that Senkuu has developed a grand scheme—to launch the complete revival of civilization with science. Taiju's brawn and Senkuu's brains combine to forge a formidable partnership, and they soon uncover a method to revive those petrified.  However, Senkuu's master plan is threatened when his ideologies are challenged by those who awaken. All the while, the reason for mankind's petrification remains unknown.  [Written by MAL Rewrite]
13;JoJo no Kimyou na Bouken (TV);https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230222013808_20230227_malxhis.png;JoJo no Kimyou na Bouken (2012),;ジョジョの奇妙な冒険;TV;26;Finished Airing;Oct 6, 2012 to Apr 6, 2013;Fall 2012;Saturdays at 00:30 (JST);['Yomiko Advertising', 'Warner Bros. Japan', 'Kamikaze Douga', 'KlockWorx', 'Shueisha'];VIZ Media, Warner Bros. Pictures;David Production;Manga;['Action', 'Adventure', 'Supernatural'];Vampire;Shounen;24 min. per ep.;R - 17+ (violence & profanity);7.90;#726;#61;1,532,620;35,236;;['Crunchyroll', 'Netflix', ''];"The year is 1868; English nobleman George Joestar and his son Jonathan become indebted to Dario Brando after being rescued from a carriage incident. What the Joestars don't realize, however, is that Dario had no intention of helping them; he believed they were dead and was trying to ransack their belongings. After Dario's death 12 years later, George—hoping to repay his debt—adopts his son, Dio.  While he publicly fawns over his new father, Dio secretly plans to steal the Joestar fortune. His first step is to create a divide between George and Jonathan. By constantly outdoing his foster brother, Dio firmly makes his place in the Joestar family. But when Dio pushes Jonathan too far, Jonathan defeats him in a brawl.  Years later, the two appear to be close friends to the outside world. But trouble brews again when George falls ill, as Jonathan suspects that Dio is somehow behind the incident—and it appears he has more tricks up his sleeve.  [Written by MAL Rewrite]"
14;Tengen Toppa Gurren Lagann;https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;Tengen Toppa Gurren-Lagann, Making Break-Through Gurren Lagann, Heavenly Breakthrough Gurren Lagann, TTGL, Gurren Laggan;天元突破グレンラガン;TV;27;Finished Airing;Apr 1, 2007 to Sep 30, 2007;Spring 2007;Sundays at 08:30 (JST);['TV Tokyo', 'Aniplex', 'Dentsu', 'Konami', 'Half H.P Studio', 'Bandai'];ADV Films, Bandai Entertainment, Aniplex of America;Gainax;Original;['Action', 'Adventure', 'Award Winning', 'Sci-Fi'];Mecha;;24 min. per ep.;PG-13 - Teens 13 or older;8.63;#75;#64;1,523,148;74,881;;['Crunchyroll', 'Funimation', ''];"Simon and Kamina were born and raised in a deep, underground village, hidden from the fabled surface. Kamina is a free-spirited loose cannon bent on making a name for himself, while Simon is a timid young boy with no real aspirations. One day while excavating the earth, Simon stumbles upon a mysterious object that turns out to be the ignition key to an ancient artifact of war, which the duo dubs Lagann. Using their new weapon, Simon and Kamina fend off a surprise attack from the surface with the help of Yoko Littner, a hot-blooded redhead wielding a massive gun who wanders the world above.  In the aftermath of the battle, the sky is now in plain view, prompting Simon and Kamina to set off on a journey alongside Yoko to explore the wastelands of the surface. Soon, they join the fight against the ""Beastmen,"" humanoid creatures that terrorize the remnants of humanity in powerful robots called ""Gunmen."" Although they face some challenges and setbacks, the trio bravely fights these new enemies alongside other survivors to reclaim the surface, while slowly unraveling a galaxy-sized mystery.  [Written by MAL Rewrite]"
15;Overlord;https://myanimelist.net/anime/29803/Overlord;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;;オーバーロード;TV;13;Finished Airing;Jul 7, 2015 to Sep 29, 2015;Summer 2015;Tuesdays at 23:00 (JST);['AT-X', 'Grooove', 'Hakuhodo DY Music & Pictures', 'Kadokawa'];Funimation;Madhouse;Light novel;['Action', 'Adventure', 'Fantasy'];Isekai;;24 min. per ep.;R - 17+ (violence & profanity);7.92;#702;#68;1,477,314;24,639;;['Crunchyroll', 'Funimation', '', ''];The final hour of the popular virtual reality game Yggdrasil has come. However, Momonga, a powerful wizard and master of the dark guild Ainz Ooal Gown, decides to spend his last few moments in the game as the servers begin to shut down. To his surprise, despite the clock having struck midnight, Momonga is still fully conscious as his character and, moreover, the non-player characters appear to have developed personalities of their own!  Confronted with this abnormal situation, Momonga commands his loyal servants to help him investigate and take control of this new world, with the hopes of figuring out what has caused this development and if there may be others in the same predicament.  [Written by MAL Rewrite]
16;Tate no Yuusha no Nariagari;https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;;盾の勇者の成り上がり;TV;25;Finished Airing;Jan 9, 2019 to Jun 26, 2019;Winter 2019;Wednesdays at 22:00 (JST);['Frontier Works', 'AT-X', 'Nippon Columbia', 'Glovision', 'Good Smile Company', 'Sammy', 'Crunchyroll', 'Kadokawa Media House', 'NTT Plala', 'Kadokawa'];Funimation;Kinema Citrus;Light novel;['Action', 'Adventure', 'Drama', 'Fantasy'];Isekai;;24 min. per ep.;PG-13 - Teens 13 or older;7.99;#595;#69;1,461,921;25,343;;['Crunchyroll', 'Funimation', ''];"The Four Cardinal Heroes are a group of ordinary men from modern-day Japan summoned to the kingdom of Melromarc to become its saviors. Melromarc is a country plagued by the Waves of Catastrophe that have repeatedly ravaged the land and brought disaster to its citizens for centuries. The four heroes are respectively bestowed a sword, spear, bow, and shield to vanquish these Waves. Naofumi Iwatani, an otaku, becomes cursed with the fate of being the ""Shield Hero."" Armed with only a measly shield, Naofumi is belittled and ridiculed by his fellow heroes and the kingdom's people due to his weak offensive capabilities and lackluster personality.  When the heroes are provided with resources and comrades to train with, Naofumi sets out with the only person willing to train alongside him, Malty Melromarc. He is soon betrayed by her, however, and becomes falsely accused of taking advantage of her. Naofumi then becomes heavily discriminated against and hated by the people of Melromarc for something he didn't do. With a raging storm of hurt and mistrust in his heart, Naofumi begins his journey of strengthening himself and his reputation. Further along however, the difficulty of being on his own sets in, so Naofumi buys a demi-human slave on the verge of death named Raphtalia to accompany him on his travels.  As the Waves approach the kingdom, Naofumi and Raphtalia must fight for the survival of the kingdom and protect the people of Melromarc from their ill-fated future.  [Written by MAL Rewrite]"
17;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka;https://myanimelist.net/anime/28121/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;DanMachi, Is It Wrong That I Want to Meet You in a Dungeon;ダンジョンに出会いを求めるのは間違っているだろうか;TV;13;Finished Airing;Apr 4, 2015 to Jun 27, 2015;Spring 2015;Saturdays at 01:05 (JST);['Genco', 'Movic', 'Warner Bros. Japan', 'KlockWorx', 'SoftBank Creative', 'Showgate', 'MAGES.', 'FuRyu'];Sentai Filmworks;J.C.Staff;Light novel;['Action', 'Adventure', 'Fantasy'];;;24 min. per ep.;PG-13 - Teens 13 or older;7.55;#1561;#71;1,438,107;11,336;;['HIDIVE', 'Netflix'];"Life in the bustling city of Orario is never dull, especially for Bell Cranel, a naïve young man who hopes to become the greatest adventurer in the land. After a chance encounter with the lonely goddess, Hestia, his dreams become a little closer to reality. With her support, Bell embarks on a fantastic quest as he ventures deep within the city's monster-filled catacombs, known only as the ""Dungeon."" Death lurks around every corner in the cavernous depths of this terrifying labyrinth, and a mysterious power moves amidst the shadows.  Even on the surface, survival is a hard-earned privilege. Indeed, nothing is ever certain in a world where gods and humans live and work together, especially when they often struggle to get along. One thing is for sure, though: a myriad of blunders, triumphs and friendships awaits the dauntlessly optimistic protagonist of this herculean tale.  [Written by MAL Rewrite]"
18;Fullmetal Alchemist;https://myanimelist.net/anime/121/Fullmetal_Alchemist;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;Hagane no Renkinjutsushi, FMA, Full Metal Alchemist;鋼の錬金術師;TV;51;Finished Airing;Oct 4, 2003 to Oct 2, 2004;Fall 2003;Saturdays at 18:00 (JST);['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System'];Funimation, Aniplex of America;Bones;Manga;['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy'];Military;Shounen;24 min. per ep.;R - 17+ (violence & profanity);8.12;#436;#74;1,407,916;25,259;;['Netflix'];Edward Elric, a young, brilliant alchemist, has lost much in his twelve-year life: when he and his brother Alphonse try to resurrect their dead mother through the forbidden act of human transmutation, Edward loses his brother as well as two of his limbs. With his supreme alchemy skills, Edward binds Alphonse's soul to a large suit of armor.  A year later, Edward, now promoted to the fullmetal alchemist of the state, embarks on a journey with his younger brother to obtain the Philosopher's Stone. The fabled mythical object is rumored to be capable of amplifying an alchemist's abilities by leaps and bounds, thus allowing them to override the fundamental law of alchemy: to gain something, an alchemist must sacrifice something of equal value. Edward hopes to draw into the military's resources to find the fabled stone and restore his and Alphonse's bodies to normal. However, the Elric brothers soon discover that there is more to the legendary stone than meets the eye, as they are led to the epicenter of a far darker battle than they could have ever imagined.  [Written by MAL Rewrite]
19;Kono Subarashii Sekai ni Shukufuku wo! 2;https://myanimelist.net/anime/32937/Kono_Subarashii_Sekai_ni_Shukufuku_wo_2;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;Give Blessings to This Wonderful World! 2;この素晴らしい世界に祝福を！ 2;TV;10;Finished Airing;Jan 12, 2017 to Mar 16, 2017;Winter 2017;Thursdays at 01:05 (JST);['Kadokawa Shoten', 'Nippon Columbia', 'KlockWorx', 'Sony Music Communications', 'Toranoana', '81 Produce', 'Kadokawa Media House'];Discotek Media;Studio Deen;Light novel;['Adventure', 'Comedy', 'Fantasy'];;;23 min. per ep.;PG-13 - Teens 13 or older;8.27;#274;#75;1,404,481;11,599;['Isekai', 'Parody', 'Reincarnation'];['Crunchyroll', 'Netflix'];"When Kazuma Satou died, he was given two choices: pass on to heaven or be revived in a fantasy world. After choosing the new world, the goddess Aqua tasked him with defeating the Demon King, and let him choose any weapon to aid him. Unfortunately, Kazuma chose to bring Aqua herself and has regretted the decision ever since then.  Not only is he stuck with a useless deity turned party archpriest, the pair also has to make enough money for living expenses. To add to their problems, their group continued to grow as more problematic adventurers joined their ranks. Their token spellcaster, Megumin, is an explosion magic specialist who can only cast one spell once per day and refuses to learn anything else. There is also their stalwart crusader, Lalatina ""Darkness"" Dustiness Ford, a helpless masochist who makes Kazuma look pure in comparison.  Kono Subarashii Sekai ni Shukufuku wo! 2 continues to follow Kazuma and the rest of his party through countless more adventures as they struggle to earn money and have to deal with one another's problematic personalities. However, things rarely go as planned, and they are often sidetracked by their own idiotic tendencies.  [Written by MAL Rewrite]"
